accuracy,loss,val_accuracy,val_loss
0.8059297800064087,0.46711280941963196,0.8483883738517761,0.3585360646247864
0.8494061231613159,0.3780198097229004,0.8881814479827881,0.28451040387153625
0.864297091960907,0.34131038188934326,0.902506947517395,0.2750628590583801
0.8757755756378174,0.3127797245979309,0.9037007689476013,0.25694823265075684
0.8900461196899414,0.2771063446998596,0.9080780148506165,0.2648995518684387
0.9130030274391174,0.23191717267036438,0.9044966101646423,0.28449738025665283
0.9308189749717712,0.17963889241218567,0.9120572805404663,0.3210677206516266
0.9510281682014465,0.13513177633285522,0.8981297016143799,0.3434864282608032
0.9654759764671326,0.09951245039701462,0.9037007689476013,0.3399522304534912
0.9687111973762512,0.09473071992397308,0.9001193642616272,0.495897114276886
0.9798351526260376,0.06153079867362976,0.9108635187149048,0.39491140842437744
0.9805442094802856,0.05956394597887993,0.8853959441184998,0.5948885083198547
0.9867044687271118,0.04207192361354828,0.9080780148506165,0.4710586369037628
0.9867931008338928,0.04033162444829941,0.8985276818275452,0.6341516375541687
0.9887431263923645,0.03701097145676613,0.9076800346374512,0.6158521175384521
